App,Category,Review_Text
Photography App 732,PHOTOGRAPHY,"Fantastic UI and no crashes at all, highly recommend."
Photography App 732,PHOTOGRAPHY,"Crashes constantly, very frustrating to use."
Photography App 732,PHOTOGRAPHY,"Fantastic UI and no crashes at all, highly recommend."
Tools App 593,TOOLS,"Fantastic UI and no crashes at all, highly recommend."
Tools App 593,TOOLS,"Not bad, but there are better alternatives out there."
Tools App 72,TOOLS,"Average experience, nothing special but works."
Tools App 72,TOOLS,"This app saved me so much time, absolutely worth it."
Tools App 72,TOOLS,"Worst update ever, broke all the features I liked."
Tools App 72,TOOLS,"Not bad, but there are better alternatives out there."
Communication App 591,COMMUNICATION,"Terrible app, doesn't work as advertised at all."
Communication App 591,COMMUNICATION,"Best app in this category, super smooth and reliable."
Business App 606,BUSINESS,"Fantastic UI and no crashes at all, highly recommend."
Business App 606,BUSINESS,"Works fine most of the time, occasional bugs."
Game App 880,GAME,"Love this app, works great and very easy to use!"
Game App 880,GAME,"Works fine most of the time, occasional bugs."
Communication App 243,COMMUNICATION,"Amazing experience, does exactly what I need every day."
Communication App 243,COMMUNICATION,"Crashes constantly, very frustrating to use."
Communication App 243,COMMUNICATION,"Decent app for the price, could use more features."
Communication App 243,COMMUNICATION,"Decent app for the price, could use more features."
Social App 20,SOCIAL,"Fantastic UI and no crashes at all, highly recommend."
Social App 20,SOCIAL,"Amazing experience, does exactly what I need every day."
Social App 20,SOCIAL,"Best app in this category, super smooth and reliable."
Social App 20,SOCIAL,"Worst update ever, broke all the features I liked."
Finance App 865,FINANCE,"Best app in this category, super smooth and reliable."
Finance App 865,FINANCE,"Crashes constantly, very frustrating to use."
Finance App 865,FINANCE,"Crashes constantly, very frustrating to use."
Finance App 865,FINANCE,"Amazing experience, does exactly what I need every day."
Finance App 865,FINANCE,"Crashes constantly, very frustrating to use."
Finance App 865,FINANCE,"Amazing experience, does exactly what I need every day."
Communication App 829,COMMUNICATION,"Works fine most of the time, occasional bugs."
Communication App 829,COMMUNICATION,"Too many ads, ruins the whole experience."
Finance App 485,FINANCE,"Amazing experience, does exactly what I need every day."
Finance App 485,FINANCE,"Battery drain is insane, uninstalling immediately."
Finance App 485,FINANCE,"Worst update ever, broke all the features I liked."
Finance App 485,FINANCE,"Battery drain is insane, uninstalling immediately."
Finance App 485,FINANCE,"Works fine most of the time, occasional bugs."
Productivity App 719,PRODUCTIVITY,"Too many ads, ruins the whole experience."
Productivity App 719,PRODUCTIVITY,"This app saved me so much time, absolutely worth it."
Productivity App 719,PRODUCTIVITY,"Best app in this category, super smooth and reliable."
Productivity App 719,PRODUCTIVITY,"Worst update ever, broke all the features I liked."
Photography App 522,PHOTOGRAPHY,"This app saved me so much time, absolutely worth it."
Photography App 522,PHOTOGRAPHY,"Amazing experience, does exactly what I need every day."
Photography App 522,PHOTOGRAPHY,"Too many ads, ruins the whole experience."
Game App 332,GAME,"Decent app for the price, could use more features."
Game App 332,GAME,"Love this app, works great and very easy to use!"
Game App 332,GAME,"Works fine most of the time, occasional bugs."
Health And Fitness App 576,HEALTH_AND_FITNESS,"This app saved me so much time, absolutely worth it."
Health And Fitness App 576,HEALTH_AND_FITNESS,"Worst update ever, broke all the features I liked."
Health And Fitness App 576,HEALTH_AND_FITNESS,"Fantastic UI and no crashes at all, highly recommend."
Health And Fitness App 576,HEALTH_AND_FITNESS,"Fantastic UI and no crashes at all, highly recommend."
Health And Fitness App 576,HEALTH_AND_FITNESS,"Crashes constantly, very frustrating to use."
Health And Fitness App 576,HEALTH_AND_FITNESS,"Not bad, but there are better alternatives out there."
Finance App 336,FINANCE,"Average experience, nothing special but works."
Finance App 336,FINANCE,"Fantastic UI and no crashes at all, highly recommend."
Finance App 336,FINANCE,"Works fine most of the time, occasional bugs."
Finance App 336,FINANCE,"Best app in this category, super smooth and reliable."
Shopping App 492,SHOPPING,"This app saved me so much time, absolutely worth it."
Shopping App 492,SHOPPING,"It's an okay app, does the basic job."
Shopping App 492,SHOPPING,"Best app in this category, super smooth and reliable."
Health And Fitness App 70,HEALTH_AND_FITNESS,"Fantastic UI and no crashes at all, highly recommend."
Health And Fitness App 70,HEALTH_AND_FITNESS,"Decent app for the price, could use more features."
Game App 100,GAME,"Worst update ever, broke all the features I liked."
Game App 100,GAME,"Works fine most of the time, occasional bugs."
Game App 100,GAME,"Amazing experience, does exactly what I need every day."
Photography App 423,PHOTOGRAPHY,"Not bad, but there are better alternatives out there."
Photography App 423,PHOTOGRAPHY,"Best app in this category, super smooth and reliable."
Photography App 423,PHOTOGRAPHY,"Amazing experience, does exactly what I need every day."
Photography App 423,PHOTOGRAPHY,"This app saved me so much time, absolutely worth it."
Photography App 423,PHOTOGRAPHY,"Crashes constantly, very frustrating to use."
Health And Fitness App 803,HEALTH_AND_FITNESS,"Terrible app, doesn't work as advertised at all."
Health And Fitness App 803,HEALTH_AND_FITNESS,"Love this app, works great and very easy to use!"
Business App 379,BUSINESS,"Best app in this category, super smooth and reliable."
Business App 379,BUSINESS,"Best app in this category, super smooth and reliable."
Business App 379,BUSINESS,"Love this app, works great and very easy to use!"
Business App 379,BUSINESS,"Works fine most of the time, occasional bugs."
Communication App 513,COMMUNICATION,"Terrible app, doesn't work as advertised at all."
Communication App 513,COMMUNICATION,"This app saved me so much time, absolutely worth it."
Communication App 513,COMMUNICATION,"Amazing experience, does exactly what I need every day."
Photography App 464,PHOTOGRAPHY,"Decent app for the price, could use more features."
Photography App 464,PHOTOGRAPHY,"Too many ads, ruins the whole experience."
Photography App 464,PHOTOGRAPHY,"Fantastic UI and no crashes at all, highly recommend."
Photography App 464,PHOTOGRAPHY,"Average experience, nothing special but works."
Photography App 464,PHOTOGRAPHY,"Worst update ever, broke all the features I liked."
Shopping App 369,SHOPPING,"Best app in this category, super smooth and reliable."
Shopping App 369,SHOPPING,"This app saved me so much time, absolutely worth it."
Education App 624,EDUCATION,"Amazing experience, does exactly what I need every day."
Education App 624,EDUCATION,"Fantastic UI and no crashes at all, highly recommend."
Education App 624,EDUCATION,"This app saved me so much time, absolutely worth it."
Education App 624,EDUCATION,"Battery drain is insane, uninstalling immediately."
Education App 624,EDUCATION,"Crashes constantly, very frustrating to use."
Education App 624,EDUCATION,"Battery drain is insane, uninstalling immediately."
Tools App 759,TOOLS,"Amazing experience, does exactly what I need every day."
Tools App 759,TOOLS,"Amazing experience, does exactly what I need every day."
Tools App 759,TOOLS,"Battery drain is insane, uninstalling immediately."
Education App 701,EDUCATION,"Best app in this category, super smooth and reliable."
Education App 701,EDUCATION,"Decent app for the price, could use more features."
Education App 701,EDUCATION,"Battery drain is insane, uninstalling immediately."
Social App 643,SOCIAL,"Too many ads, ruins the whole experience."
Social App 643,SOCIAL,"Love this app, works great and very easy to use!"
Social App 643,SOCIAL,"Best app in this category, super smooth and reliable."
Social App 643,SOCIAL,"Battery drain is insane, uninstalling immediately."
Social App 643,SOCIAL,"This app saved me so much time, absolutely worth it."
Social App 643,SOCIAL,"Worst update ever, broke all the features I liked."
Communication App 235,COMMUNICATION,"Fantastic UI and no crashes at all, highly recommend."
Communication App 235,COMMUNICATION,"This app saved me so much time, absolutely worth it."
Communication App 235,COMMUNICATION,"Crashes constantly, very frustrating to use."
Communication App 235,COMMUNICATION,"This app saved me so much time, absolutely worth it."
Communication App 235,COMMUNICATION,"This app saved me so much time, absolutely worth it."
Finance App 537,FINANCE,"Works fine most of the time, occasional bugs."
Finance App 537,FINANCE,"Fantastic UI and no crashes at all, highly recommend."
Health And Fitness App 636,HEALTH_AND_FITNESS,"Love this app, works great and very easy to use!"
Health And Fitness App 636,HEALTH_AND_FITNESS,"Love this app, works great and very easy to use!"
Shopping App 848,SHOPPING,"Crashes constantly, very frustrating to use."
Shopping App 848,SHOPPING,"Average experience, nothing special but works."
Shopping App 848,SHOPPING,"Love this app, works great and very easy to use!"
Shopping App 848,SHOPPING,"This app saved me so much time, absolutely worth it."
Shopping App 848,SHOPPING,"Too many ads, ruins the whole experience."
Shopping App 848,SHOPPING,"Works fine most of the time, occasional bugs."
Shopping App 848,SHOPPING,"Average experience, nothing special but works."
Tools App 565,TOOLS,"Best app in this category, super smooth and reliable."
Tools App 565,TOOLS,"This app saved me so much time, absolutely worth it."
Tools App 565,TOOLS,"Love this app, works great and very easy to use!"
Tools App 565,TOOLS,"This app saved me so much time, absolutely worth it."
Finance App 795,FINANCE,"Works fine most of the time, occasional bugs."
Finance App 795,FINANCE,"Best app in this category, super smooth and reliable."
Finance App 795,FINANCE,"Amazing experience, does exactly what I need every day."
Finance App 795,FINANCE,"Best app in this category, super smooth and reliable."
Communication App 587,COMMUNICATION,"This app saved me so much time, absolutely worth it."
Communication App 587,COMMUNICATION,"Love this app, works great and very easy to use!"
Education App 143,EDUCATION,"Too many ads, ruins the whole experience."
Education App 143,EDUCATION,"Love this app, works great and very easy to use!"
Education App 143,EDUCATION,"Crashes constantly, very frustrating to use."
Education App 143,EDUCATION,"Decent app for the price, could use more features."
Social App 896,SOCIAL,"This app saved me so much time, absolutely worth it."
Social App 896,SOCIAL,"Worst update ever, broke all the features I liked."
Social App 896,SOCIAL,"It's an okay app, does the basic job."
Productivity App 330,PRODUCTIVITY,"Worst update ever, broke all the features I liked."
Productivity App 330,PRODUCTIVITY,"Not bad, but there are better alternatives out there."
Productivity App 330,PRODUCTIVITY,"Too many ads, ruins the whole experience."
Productivity App 330,PRODUCTIVITY,"Too many ads, ruins the whole experience."
Finance App 338,FINANCE,"Worst update ever, broke all the features I liked."
Finance App 338,FINANCE,"Worst update ever, broke all the features I liked."
Finance App 338,FINANCE,"Best app in this category, super smooth and reliable."
Finance App 338,FINANCE,"Love this app, works great and very easy to use!"
Finance App 338,FINANCE,"Amazing experience, does exactly what I need every day."
Finance App 338,FINANCE,"This app saved me so much time, absolutely worth it."
Finance App 338,FINANCE,"It's an okay app, does the basic job."
Tools App 147,TOOLS,"Crashes constantly, very frustrating to use."
Tools App 147,TOOLS,"Amazing experience, does exactly what I need every day."
Tools App 147,TOOLS,"Love this app, works great and very easy to use!"
Education App 810,EDUCATION,"This app saved me so much time, absolutely worth it."
Education App 810,EDUCATION,"Love this app, works great and very easy to use!"
Education App 810,EDUCATION,"Best app in this category, super smooth and reliable."
Music And Audio App 137,MUSIC_AND_AUDIO,"Best app in this category, super smooth and reliable."
Music And Audio App 137,MUSIC_AND_AUDIO,"Crashes constantly, very frustrating to use."
Music And Audio App 137,MUSIC_AND_AUDIO,"Fantastic UI and no crashes at all, highly recommend."
Music And Audio App 137,MUSIC_AND_AUDIO,"Terrible app, doesn't work as advertised at all."
Music And Audio App 180,MUSIC_AND_AUDIO,"Not bad, but there are better alternatives out there."
Music And Audio App 180,MUSIC_AND_AUDIO,"Love this app, works great and very easy to use!"
Game App 416,GAME,"Works fine most of the time, occasional bugs."
Game App 416,GAME,"Best app in this category, super smooth and reliable."
Game App 416,GAME,"Fantastic UI and no crashes at all, highly recommend."
Game App 416,GAME,"Fantastic UI and no crashes at all, highly recommend."
Game App 416,GAME,"Amazing experience, does exactly what I need every day."
Game App 416,GAME,"Best app in this category, super smooth and reliable."
Health And Fitness App 676,HEALTH_AND_FITNESS,"Terrible app, doesn't work as advertised at all."
Health And Fitness App 676,HEALTH_AND_FITNESS,"This app saved me so much time, absolutely worth it."
Health And Fitness App 676,HEALTH_AND_FITNESS,"Love this app, works great and very easy to use!"
Health And Fitness App 676,HEALTH_AND_FITNESS,"Terrible app, doesn't work as advertised at all."
Shopping App 531,SHOPPING,"Amazing experience, does exactly what I need every day."
Shopping App 531,SHOPPING,"Best app in this category, super smooth and reliable."
Music And Audio App 895,MUSIC_AND_AUDIO,"Too many ads, ruins the whole experience."
Music And Audio App 895,MUSIC_AND_AUDIO,"Love this app, works great and very easy to use!"
Music And Audio App 895,MUSIC_AND_AUDIO,"Fantastic UI and no crashes at all, highly recommend."
Health And Fitness App 831,HEALTH_AND_FITNESS,"Best app in this category, super smooth and reliable."
Health And Fitness App 831,HEALTH_AND_FITNESS,"Too many ads, ruins the whole experience."
Health And Fitness App 831,HEALTH_AND_FITNESS,"Crashes constantly, very frustrating to use."
Shopping App 705,SHOPPING,"Worst update ever, broke all the features I liked."
Shopping App 705,SHOPPING,"Terrible app, doesn't work as advertised at all."
Shopping App 705,SHOPPING,"Fantastic UI and no crashes at all, highly recommend."
Health And Fitness App 345,HEALTH_AND_FITNESS,"This app saved me so much time, absolutely worth it."
Health And Fitness App 345,HEALTH_AND_FITNESS,"Average experience, nothing special but works."
Health And Fitness App 345,HEALTH_AND_FITNESS,"Works fine most of the time, occasional bugs."
Health And Fitness App 345,HEALTH_AND_FITNESS,"Crashes constantly, very frustrating to use."
Productivity App 763,PRODUCTIVITY,"Love this app, works great and very easy to use!"
Productivity App 763,PRODUCTIVITY,"Not bad, but there are better alternatives out there."
Productivity App 763,PRODUCTIVITY,"This app saved me so much time, absolutely worth it."
Productivity App 763,PRODUCTIVITY,"Amazing experience, does exactly what I need every day."
Productivity App 763,PRODUCTIVITY,"Fantastic UI and no crashes at all, highly recommend."
Education App 260,EDUCATION,"Not bad, but there are better alternatives out there."
Education App 260,EDUCATION,"Love this app, works great and very easy to use!"
Education App 260,EDUCATION,"Fantastic UI and no crashes at all, highly recommend."
Education App 260,EDUCATION,"Not bad, but there are better alternatives out there."
Education App 260,EDUCATION,"Amazing experience, does exactly what I need every day."
Education App 260,EDUCATION,"Fantastic UI and no crashes at all, highly recommend."
Photography App 753,PHOTOGRAPHY,"Worst update ever, broke all the features I liked."
Photography App 753,PHOTOGRAPHY,"Amazing experience, does exactly what I need every day."
Photography App 753,PHOTOGRAPHY,"Best app in this category, super smooth and reliable."
Photography App 753,PHOTOGRAPHY,"It's an okay app, does the basic job."
Photography App 753,PHOTOGRAPHY,"Best app in this category, super smooth and reliable."
Photography App 753,PHOTOGRAPHY,"Too many ads, ruins the whole experience."
Photography App 753,PHOTOGRAPHY,"It's an okay app, does the basic job."
Tools App 292,TOOLS,"Best app in this category, super smooth and reliable."
Tools App 292,TOOLS,"Works fine most of the time, occasional bugs."
Tools App 292,TOOLS,"Worst update ever, broke all the features I liked."
Finance App 352,FINANCE,"Too many ads, ruins the whole experience."
Finance App 352,FINANCE,"Love this app, works great and very easy to use!"
Finance App 352,FINANCE,"Fantastic UI and no crashes at all, highly recommend."
Finance App 352,FINANCE,"Not bad, but there are better alternatives out there."
Finance App 352,FINANCE,"This app saved me so much time, absolutely worth it."
Finance App 352,FINANCE,"It's an okay app, does the basic job."
Education App 7,EDUCATION,"Works fine most of the time, occasional bugs."
Education App 7,EDUCATION,"Decent app for the price, could use more features."
Education App 7,EDUCATION,"Worst update ever, broke all the features I liked."
Education App 7,EDUCATION,"Love this app, works great and very easy to use!"
Education App 7,EDUCATION,"Best app in this category, super smooth and reliable."
Photography App 785,PHOTOGRAPHY,"Amazing experience, does exactly what I need every day."
Photography App 785,PHOTOGRAPHY,"Average experience, nothing special but works."
Photography App 785,PHOTOGRAPHY,"Love this app, works great and very easy to use!"
Photography App 785,PHOTOGRAPHY,"Amazing experience, does exactly what I need every day."
Photography App 785,PHOTOGRAPHY,"This app saved me so much time, absolutely worth it."
Photography App 785,PHOTOGRAPHY,"Fantastic UI and no crashes at all, highly recommend."
Photography App 785,PHOTOGRAPHY,"Battery drain is insane, uninstalling immediately."
Health And Fitness App 266,HEALTH_AND_FITNESS,"Works fine most of the time, occasional bugs."
Health And Fitness App 266,HEALTH_AND_FITNESS,"Terrible app, doesn't work as advertised at all."
Health And Fitness App 266,HEALTH_AND_FITNESS,"This app saved me so much time, absolutely worth it."
Health And Fitness App 266,HEALTH_AND_FITNESS,"Love this app, works great and very easy to use!"
Tools App 802,TOOLS,"Crashes constantly, very frustrating to use."
Tools App 802,TOOLS,"Battery drain is insane, uninstalling immediately."
Tools App 802,TOOLS,"Crashes constantly, very frustrating to use."
Health And Fitness App 612,HEALTH_AND_FITNESS,"Crashes constantly, very frustrating to use."
Health And Fitness App 612,HEALTH_AND_FITNESS,"Worst update ever, broke all the features I liked."
Health And Fitness App 612,HEALTH_AND_FITNESS,"Too many ads, ruins the whole experience."
Health And Fitness App 612,HEALTH_AND_FITNESS,"Too many ads, ruins the whole experience."
Health And Fitness App 612,HEALTH_AND_FITNESS,"Amazing experience, does exactly what I need every day."
Health And Fitness App 612,HEALTH_AND_FITNESS,"This app saved me so much time, absolutely worth it."
Health And Fitness App 612,HEALTH_AND_FITNESS,"Not bad, but there are better alternatives out there."
Finance App 28,FINANCE,"Average experience, nothing special but works."
Finance App 28,FINANCE,"Amazing experience, does exactly what I need every day."
Finance App 28,FINANCE,"This app saved me so much time, absolutely worth it."
Finance App 28,FINANCE,"Love this app, works great and very easy to use!"
Finance App 28,FINANCE,"This app saved me so much time, absolutely worth it."
Finance App 28,FINANCE,"Love this app, works great and very easy to use!"
Finance App 28,FINANCE,"Love this app, works great and very easy to use!"
Productivity App 556,PRODUCTIVITY,"This app saved me so much time, absolutely worth it."
Productivity App 556,PRODUCTIVITY,"Fantastic UI and no crashes at all, highly recommend."
Finance App 216,FINANCE,"This app saved me so much time, absolutely worth it."
Finance App 216,FINANCE,"Works fine most of the time, occasional bugs."
Finance App 216,FINANCE,"Not bad, but there are better alternatives out there."
Game App 496,GAME,"Amazing experience, does exactly what I need every day."
Game App 496,GAME,"Love this app, works great and very easy to use!"
Game App 496,GAME,"Too many ads, ruins the whole experience."
Game App 496,GAME,"Love this app, works great and very easy to use!"
Game App 496,GAME,"Battery drain is insane, uninstalling immediately."
Game App 496,GAME,"Amazing experience, does exactly what I need every day."
Game App 6,GAME,"Best app in this category, super smooth and reliable."
Game App 6,GAME,"Best app in this category, super smooth and reliable."
Shopping App 695,SHOPPING,"This app saved me so much time, absolutely worth it."
Shopping App 695,SHOPPING,"Battery drain is insane, uninstalling immediately."
Shopping App 695,SHOPPING,"Battery drain is insane, uninstalling immediately."
Shopping App 695,SHOPPING,"Decent app for the price, could use more features."
Shopping App 695,SHOPPING,"This app saved me so much time, absolutely worth it."
Shopping App 695,SHOPPING,"Worst update ever, broke all the features I liked."
Game App 801,GAME,"Decent app for the price, could use more features."
Game App 801,GAME,"Best app in this category, super smooth and reliable."
Game App 801,GAME,"Amazing experience, does exactly what I need every day."
Game App 801,GAME,"Amazing experience, does exactly what I need every day."
Game App 801,GAME,"Amazing experience, does exactly what I need every day."
Game App 801,GAME,"Average experience, nothing special but works."
Game App 801,GAME,"Worst update ever, broke all the features I liked."
Social App 879,SOCIAL,"Love this app, works great and very easy to use!"
Social App 879,SOCIAL,"Average experience, nothing special but works."
Social App 879,SOCIAL,"Best app in this category, super smooth and reliable."
Social App 879,SOCIAL,"Fantastic UI and no crashes at all, highly recommend."
Social App 879,SOCIAL,"Crashes constantly, very frustrating to use."
Social App 879,SOCIAL,"Amazing experience, does exactly what I need every day."
Business App 553,BUSINESS,"Too many ads, ruins the whole experience."
Business App 553,BUSINESS,"Works fine most of the time, occasional bugs."
Business App 553,BUSINESS,"Amazing experience, does exactly what I need every day."
Business App 553,BUSINESS,"Fantastic UI and no crashes at all, highly recommend."
Business App 553,BUSINESS,"Decent app for the price, could use more features."
Business App 553,BUSINESS,"Fantastic UI and no crashes at all, highly recommend."
Game App 748,GAME,"It's an okay app, does the basic job."
Game App 748,GAME,"Too many ads, ruins the whole experience."
Game App 748,GAME,"Love this app, works great and very easy to use!"
Game App 748,GAME,"Best app in this category, super smooth and reliable."
Tools App 503,TOOLS,"Not bad, but there are better alternatives out there."
Tools App 503,TOOLS,"Average experience, nothing special but works."
Photography App 267,PHOTOGRAPHY,"This app saved me so much time, absolutely worth it."
Photography App 267,PHOTOGRAPHY,"This app saved me so much time, absolutely worth it."
Photography App 267,PHOTOGRAPHY,"Terrible app, doesn't work as advertised at all."
Game App 343,GAME,"Decent app for the price, could use more features."
Game App 343,GAME,"This app saved me so much time, absolutely worth it."
Game App 343,GAME,"This app saved me so much time, absolutely worth it."
Game App 343,GAME,"Too many ads, ruins the whole experience."
Game App 343,GAME,"Amazing experience, does exactly what I need every day."
Game App 343,GAME,"Best app in this category, super smooth and reliable."
Game App 343,GAME,"Fantastic UI and no crashes at all, highly recommend."
Photography App 208,PHOTOGRAPHY,"It's an okay app, does the basic job."
Photography App 208,PHOTOGRAPHY,"Terrible app, doesn't work as advertised at all."
Photography App 208,PHOTOGRAPHY,"Fantastic UI and no crashes at all, highly recommend."
Photography App 208,PHOTOGRAPHY,"Battery drain is insane, uninstalling immediately."
Photography App 208,PHOTOGRAPHY,"Decent app for the price, could use more features."
Photography App 208,PHOTOGRAPHY,"Amazing experience, does exactly what I need every day."
Photography App 208,PHOTOGRAPHY,"Crashes constantly, very frustrating to use."
Finance App 313,FINANCE,"Too many ads, ruins the whole experience."
Finance App 313,FINANCE,"Battery drain is insane, uninstalling immediately."
Finance App 313,FINANCE,"Crashes constantly, very frustrating to use."
Finance App 313,FINANCE,"Amazing experience, does exactly what I need every day."
Finance App 313,FINANCE,"Worst update ever, broke all the features I liked."
Finance App 313,FINANCE,"Works fine most of the time, occasional bugs."
Finance App 313,FINANCE,"Best app in this category, super smooth and reliable."
Health And Fitness App 495,HEALTH_AND_FITNESS,"Crashes constantly, very frustrating to use."
Health And Fitness App 495,HEALTH_AND_FITNESS,"Decent app for the price, could use more features."
Health And Fitness App 495,HEALTH_AND_FITNESS,"Crashes constantly, very frustrating to use."
Health And Fitness App 495,HEALTH_AND_FITNESS,"Best app in this category, super smooth and reliable."
Health And Fitness App 495,HEALTH_AND_FITNESS,"Amazing experience, does exactly what I need every day."
Shopping App 722,SHOPPING,"Terrible app, doesn't work as advertised at all."
Shopping App 722,SHOPPING,"Fantastic UI and no crashes at all, highly recommend."
Shopping App 722,SHOPPING,"Best app in this category, super smooth and reliable."
Shopping App 722,SHOPPING,"This app saved me so much time, absolutely worth it."
Shopping App 722,SHOPPING,"This app saved me so much time, absolutely worth it."
Shopping App 722,SHOPPING,"Best app in this category, super smooth and reliable."
Education App 609,EDUCATION,"Best app in this category, super smooth and reliable."
Education App 609,EDUCATION,"It's an okay app, does the basic job."
Education App 609,EDUCATION,"Fantastic UI and no crashes at all, highly recommend."
Education App 609,EDUCATION,"This app saved me so much time, absolutely worth it."
Education App 609,EDUCATION,"Not bad, but there are better alternatives out there."
Education App 609,EDUCATION,"Worst update ever, broke all the features I liked."
Health And Fitness App 578,HEALTH_AND_FITNESS,"Love this app, works great and very easy to use!"
Health And Fitness App 578,HEALTH_AND_FITNESS,"This app saved me so much time, absolutely worth it."
Health And Fitness App 578,HEALTH_AND_FITNESS,"This app saved me so much time, absolutely worth it."
Music And Audio App 760,MUSIC_AND_AUDIO,"Love this app, works great and very easy to use!"
Music And Audio App 760,MUSIC_AND_AUDIO,"Works fine most of the time, occasional bugs."
Music And Audio App 760,MUSIC_AND_AUDIO,"This app saved me so much time, absolutely worth it."
Music And Audio App 760,MUSIC_AND_AUDIO,"Crashes constantly, very frustrating to use."
Finance App 862,FINANCE,"Average experience, nothing special but works."
Finance App 862,FINANCE,"Best app in this category, super smooth and reliable."
Finance App 862,FINANCE,"This app saved me so much time, absolutely worth it."
Finance App 862,FINANCE,"Not bad, but there are better alternatives out there."
Shopping App 145,SHOPPING,"It's an okay app, does the basic job."
Shopping App 145,SHOPPING,"Amazing experience, does exactly what I need every day."
Shopping App 145,SHOPPING,"Best app in this category, super smooth and reliable."
Game App 381,GAME,"Amazing experience, does exactly what I need every day."
Game App 381,GAME,"Amazing experience, does exactly what I need every day."
Game App 381,GAME,"Amazing experience, does exactly what I need every day."
Game App 381,GAME,"Terrible app, doesn't work as advertised at all."
Game App 584,GAME,"Crashes constantly, very frustrating to use."
Game App 584,GAME,"Decent app for the price, could use more features."
Game App 584,GAME,"Amazing experience, does exactly what I need every day."
Game App 703,GAME,"Average experience, nothing special but works."
Game App 703,GAME,"Love this app, works great and very easy to use!"
Game App 703,GAME,"Fantastic UI and no crashes at all, highly recommend."
Game App 703,GAME,"Amazing experience, does exactly what I need every day."
Game App 703,GAME,"Too many ads, ruins the whole experience."
Game App 703,GAME,"Love this app, works great and very easy to use!"
Social App 14,SOCIAL,"Not bad, but there are better alternatives out there."
Social App 14,SOCIAL,"Crashes constantly, very frustrating to use."
